voivodeship_name,population,number_of_cities,id
wojewodztwo dolnoslaskie,2900000,91,11
wojewodztwo kujawsko-pomorskie,2070000,52,13
wojewodztwo lubelskie,2120000,71,5
wojewodztwo lubuskie,1000000,43,4
wojewodztwo lodzkie,2400000,96,16
wojewodztwo malopolskie,3400000,182,8
wojewodztwo mazowieckie,5400000,314,2
wojewodztwo opolskie,990000,35,14
wojewodztwo podkarpackie,2100000,85,1
wojewodztwo podlaskie,1200000,40,10
wojewodztwo pomorskie,2300000,121,12
wojewodztwo slaskie,4600000,162,9
wojewodztwo swietokrzyskie,1200000,40,6
wojewodztwo warminsko-mazurskie,1400000,49,3
wojewodztwo wielkopolskie,3500000,226,15
wojewodztwo zachodniopomorskie,1700000,66,7
